product_id,main_camera_mp (MP),wide_camera_mp (MP),tele_camera_mp (MP),macro_camera_mp (MP),wide_camera_aperture (f/),tele_camera_aperture (f/),macro_camera_aperture (f/)
55933,8.0,8.0,2.0,2.0,1.0,1.0,1.75
55756,8.0,8.0,2.0,2.0,1.0,1.0,1.75
85263,8.0,5.0,2.0,2.0,1.0,1.0,1.75
73955,8.0,5.0,2.0,2.0,1.0,1.0,1.75
67045,8.0,5.0,2.0,2.0,1.0,1.0,1.75
55514,8.0,5.0,2.0,2.0,1.0,1.0,1.75
82273,8.0,5.0,2.0,2.0,1.0,1.0,1.75
72221,13.0,5.0,2.0,2.0,1.0,1.0,1.75
51346,8.0,5.0,2.0,2.0,1.0,1.0,1.75
61506,8.0,5.0,2.0,2.0,1.0,1.0,1.75
28759,8.0,5.0,2.0,2.0,1.0,1.0,1.75
84534,8.0,5.0,2.0,108.0,1.0,1.0,1.75
62019,8.0,5.0,2.0,2.0,1.0,1.0,1.75
60319,8.0,5.0,2.0,2.0,1.0,1.0,1.75
31468,8.0,5.0,2.0,2.0,1.0,1.0,1.75
84461,50.0,5.0,2.0,2.0,1.0,1.0,1.75
63451,8.0,5.0,2.0,2.0,1.0,1.0,1.75
74090,8.0,5.0,2.0,2.0,1.0,1.0,1.75
75776,8.0,5.0,2.0,2.0,1.0,1.0,1.75
63187,8.0,5.0,2.0,2.0,1.0,1.0,1.75
73552,8.0,5.0,2.0,2.0,1.0,1.0,1.75
60342,8.0,5.0,2.0,2.0,1.0,1.0,1.75
54455,8.0,5.0,2.0,2.0,1.0,1.0,1.75
51223,8.0,5.0,2.0,2.0,1.0,1.0,1.75
49969,8.0,5.0,2.0,2.0,1.0,1.0,1.75
60622,8.0,5.0,2.0,2.0,1.0,1.0,1.75
50771,8.0,5.0,2.0,2.0,1.0,1.0,1.75
62013,8.0,5.0,2.0,2.0,1.0,1.9,1.75
54438,8.0,5.0,2.0,13.0,1.0,1.0,1.75
55082,8.0,5.0,64.0,2.0,1.0,1.0,1.75
66360,8.0,8.0,2.0,2.0,1.0,1.0,1.75
64064,8.0,5.0,2.0,2.0,1.0,1.0,1.75
50678,8.0,5.0,2.0,2.0,1.0,1.0,1.75
84463,50.0,5.0,2.0,2.0,1.0,1.0,1.75
60625,8.0,5.0,2.0,2.0,1.0,1.0,1.75
60755,8.0,50.0,2.0,2.0,1.0,1.0,1.75
72502,8.0,5.0,2.0,2.0,1.0,1.0,1.75
59252,8.0,5.0,2.0,2.0,1.0,1.0,1.75
53437,8.0,5.0,2.0,2.0,1.0,1.0,2.4
67547,8.0,5.0,2.0,2.0,1.0,1.0,1.75
64072,8.0,5.0,2.0,2.0,1.0,1.0,1.75
55512,8.0,5.0,2.0,2.0,1.0,1.0,1.75
60694,8.0,5.0,2.0,2.0,1.0,1.0,1.75
64836,50.0,5.0,2.0,2.0,1.0,1.0,1.75
59597,8.0,5.0,2.0,2.0,1.0,1.0,1.75
46949,8.0,5.0,2.0,2.0,1.0,1.0,1.75
67366,8.0,5.0,2.0,2.0,1.0,1.0,1.75
63900,8.0,5.0,2.0,2.0,1.0,1.0,2.4
60695,8.0,5.0,2.0,2.0,1.0,1.0,1.75
35922,8.0,5.0,2.0,2.0,1.0,1.0,1.75
64269,8.0,5.0,2.0,2.0,1.0,1.0,1.75
28988,8.0,5.0,2.0,2.0,1.0,1.0,1.75
67369,100.0,5.0,2.0,2.0,2.4,1.0,1.9
72501,50.0,5.0,8.0,2.0,1.0,2.2,1.75
60165,8.0,8.0,2.0,2.0,1.0,1.0,1.75
72216,8.0,5.0,2.0,2.0,1.0,1.0,1.75
74344,108.0,5.0,2.0,2.0,1.0,1.0,1.75
53272,8.0,5.0,2.0,2.0,1.0,1.0,1.75
67731,8.0,5.0,2.0,2.0,1.0,1.0,1.75
53276,8.0,5.0,2.0,2.0,1.0,1.0,1.75
62345,8.0,5.0,2.0,2.0,1.0,1.0,1.75
72192,8.0,5.0,2.0,2.0,1.0,1.0,1.75
52711,8.0,5.0,2.0,2.0,1.0,1.0,1.75
66362,8.0,5.0,2.0,2.0,1.0,1.0,1.75
