product_id,camera_video
45051,"4K @24 fps, 25 fps, 30 fps, 60 fps1080p @25 fps, 30 fps, 60 fps720p @30 fps4K HDR @30 fps2.8K @ 60 fpsHDR với Dolby Vision @60 fpsProRes 4K @ 30fpsChuyển động chậm 1080p @ 120fps, 240 fps"
44930,"8K@24/30fps, 4K@30/60fps, 1080p@30/60/240fps, 720p@960fps, HDR10+, stereo sound rec., gyro-EIS"
62296,"4K@24/30/60fp, 1080p@30/120/240/960fps, 1080p@1920fps, gyro-EIS"
46352,"4K@30fps, 1080p@30/60fps; gyro-EIS"
27451,"Trước: 4K@24/30/60fps, 1080p@30/60/120fps, gyro-EISSau: 4K@24/30/60fps, 1080p@30/60/120/240fps, HDR, Dolby Vision HDR (up to 30fps), stereo sound rec."
36499,4K@24/30/60fps1080p HD @25430/60fps720p HD@30fps
67556,"4K@30fps, 1080p@30fps"
32364,"8K@24fps, 4K@30/60fps, 1080p@30/60/240fps, 720p@960fps, HDR10+"
51990,"4K @24 fps, 25 fps, 30 fps, 60 fps1080p @25 fps, 30 fps, 60 fps720p @30 fps4K HDR @30 fps2.8K @ 60 fpsHDR với Dolby Vision @60 fpsProRes 4K @30fpsChuyển động chậm 1080p @ 120fps, 240 fps"
44342,"FullHD 1080p@30fps, 4K 2160p@60fps, HD 720p@30fps, 8K 4320p@24fps, 8K 4320p@30fps"
39188,"4K@30fps, 1080p@30/60fps, 720p@30fps"
49700,N/A
55687,"4K@30fps, 1080p@30/60/120fps, 720p@960fps"
51997,"4K@24/25/30/60fps, 1080p@25/30/60/120/240fps, 10-bit HDR, Dolby Vision HDR (60fps), Chế độ ProRes, Chế độ Cinematic (4K@30fps)"
36243,4K 2160p@30fpsFullHD 1080p@30fpsFullHD 1080p@60fpsHD 720p@30fps
88715,N/A
55754,"8K@24/30fps, 4K@30/60fps, 1080p@30/60/240fps, 720p@960fps, HDR10+, stereo sound rec., gyro-EIS"
68862,4K@24/25/30/60 fpsHD 1080p@25/30/60 fpsHD 720p@30 fps
65313,8K 4320p@30fps
